,season,game_id,team_alias,team_game_score,w/l_ratio
623,2013,313,UCLA,76.0,W
624,2013,314,STAN,83.0,W
625,2013,314,UCD,56.0,L
626,2013,315,HC,54.0,L
627,2013,315,UNC,62.0,W
628,2013,316,TENN,67.0,W
629,2013,316,UGA,48.0,L
630,2013,317,MISS,79.0,W
631,2013,317,PSU,76.0,L
632,2013,318,RUTG,72.0,W
633,2013,318,USF,68.0,L
634,2013,319,AUB,70.0,L
635,2013,319,ISU,99.0,W
636,2013,320,DUQ,72.0,L
637,2013,320,SLU,76.0,W
638,2013,321,CLEM,61.0,W
639,2013,321,WAKE,53.0,L
640,2013,322,IND,105.0,W
641,2013,322,SAM,59.0,L
642,2013,323,MINN,54.0,L
643,2013,323,NW,55.0,W
644,2013,324,IND,75.0,W
645,2013,324,WIS,72.0,L
646,2013,325,FSU,64.0,L
647,2013,325,MINN,67.0,W
648,2013,326,MIA,85.0,W
649,2013,326,NCST,70.0,L
650,2013,327,MSST,81.0,W
651,2013,327,TXAM,72.0,L
652,2013,328,CLEM,45.0,W
653,2013,328,GT,41.0,L
654,2013,329,ARIZ,69.0,W
655,2013,329,SOU,43.0,L
656,2013,330,SCAR,68.0,L
657,2013,330,SCUS,74.0,W
658,2013,331,ILL,83.0,W
659,2013,331,IND,80.0,L
660,2013,332,IOWA,76.0,L
661,2013,332,MSU,86.0,W
662,2013,333,ILST,62.0,W
663,2013,333,TXAM,55.0,L
664,2013,334,MIA,60.0,L
665,2013,334,VT,61.0,W
666,2013,335,DEP,65.0,W
667,2013,335,HALL,60.0,L
668,2013,336,UCLA,107.0,W
669,2013,336,USC,73.0,L
670,2013,337,CLEM,58.0,L
671,2013,337,UVA,63.0,W
672,2013,338,ORST,69.0,L
673,2013,338,UTAH,80.0,W
674,2013,339,IDHO,66.0,L
675,2013,339,WSU,67.0,W
676,2013,340,ILL,64.0,L
677,2013,340,ORE,71.0,W
678,2013,341,BALL,53.0,L
679,2013,341,MARQ,91.0,W
680,2013,342,GB,75.0,W
681,2013,342,UVA,72.0,L
682,2013,343,TCU,54.0,L
683,2013,343,TEX,66.0,W
684,2013,344,MIA,58.0,L
685,2013,344,NCST,67.0,W
686,2013,345,CONN,83.0,W
687,2013,345,USF,40.0,L
688,2013,346,ILL,75.0,W
689,2013,346,PSU,55.0,L
690,2013,347,BC,71.0,L
691,2013,347,GT,74.0,W
